○高木（毅）委員：-0.1936：ヒット数：203：ヒット率：47.78
○高橋（千）委員：-0.1324：ヒット数：2122：ヒット率：31.22
○国務大臣（根本匠）：-0.132：ヒット数：8342：ヒット率：32.3
○委員長（島村大）：-0.1313：ヒット数：59：ヒット率：38.98
○参考人（村井嘉浩）：-0.1313：ヒット数：2744：ヒット率：24.81
○河野義博：-0.1306：ヒット数：2448：ヒット率：27.63
○根本国務大臣：-0.1305：ヒット数：2663：ヒット率：36.88
○尾辻委員：-0.1304：ヒット数：2165：ヒット率：25.05
○福島みずほ：-0.13：ヒット数：2375：ヒット率：26.23
○大口副大臣：-0.1297：ヒット数：289：ヒット率：30.45
○宮嵜政府参考人：-0.1295：ヒット数：475：ヒット率：32.08
○高鳥委員長：-0.1278：ヒット数：380：ヒット率：35.83
○塩川委員：-0.1269：ヒット数：708：ヒット率：27.52
○大沼大臣政務官：-0.1265：ヒット数：257：ヒット率：34.63
○丹羽委員長：-0.1251：ヒット数：72：ヒット率：40.28
○山本博司：-0.1238：ヒット数：161：ヒット率：29.81
○浜地委員：-0.1238：ヒット数：1411：ヒット率：23.54
○初鹿委員：-0.1231：ヒット数：4781：ヒット率：24.36
○吉田委員：-0.1229：ヒット数：234：ヒット率：27.35
○中野委員：-0.1228：ヒット数：756：ヒット率：24.34
○串田誠一：-0.1228：ヒット数：366：ヒット率：28.14
○参考人（石井晴夫）：-0.1217：ヒット数：1499：ヒット率：25.58
○矢田わか子：-0.1215：ヒット数：259：ヒット率：21.24
○小川克巳：-0.1207：ヒット数：700：ヒット率：23.6
○内閣総理大臣（安倍晋三）：-0.1201：ヒット数：540：ヒット率：31.77
○東徹：-0.1198：ヒット数：472：ヒット率：23.31
○馬場大臣政務官：-0.118：ヒット数：662：ヒット率：37.21
○国務大臣（塩崎恭久）：-0.1166：ヒット数：272：ヒット率：25.37
○赤澤委員：-0.1162：ヒット数：2853：ヒット率：23.2
○田村（貴）委員：-0.1156：ヒット数：1112：ヒット率：22.88
○前原委員：-0.1105：ヒット数：820：ヒット率：21.31
○政府参考人（山田邦博）：-0.1102：ヒット数：628：ヒット率：28.36
○石崎政府参考人：-0.1099：ヒット数：288：ヒット率：23.96
○柚木委員：-0.1092：ヒット数：461：ヒット率：24.83
○森山（浩）委員：-0.1078：ヒット数：83：ヒット率：22.89
○大岡委員：-0.1077：ヒット数：220：ヒット率：23.64
○桝屋委員：-0.1076：ヒット数：230：ヒット率：27.39
○宮島喜文：-0.1074：ヒット数：2327：ヒット率：24.47
○川合孝典：-0.1013：ヒット数：3092：ヒット率：20.6
○政府参考人（橋本泰宏）：-0.095：ヒット数：167：ヒット率：23.35
○繁本分科員：-0.0881：ヒット数：326：ヒット率：20.86
○薬師寺みちよ：-0.0873：ヒット数：568：ヒット率：19.01
