○山本委員長：-0.2281：ヒット数：57：ヒット率：36.84
○一川保夫：-0.1261：ヒット数：569：ヒット率：26.71
○上川国務大臣：-0.126：ヒット数：1499：ヒット率：25.6
○落合委員：-0.1256：ヒット数：415：ヒット率：23.57
○東徹：-0.1251：ヒット数：315：ヒット率：22.22
○浅田均：-0.1242：ヒット数：595：ヒット率：25.55
○政府参考人（大泉淳一）：-0.1241：ヒット数：296：ヒット率：26.69
○政府参考人（時澤忠）：-0.1241：ヒット数：298：ヒット率：27.85
○参考人（久保厚子）：-0.1233：ヒット数：2230：ヒット率：25.34
○中根（康）委員：-0.1228：ヒット数：1074：ヒット率：23.28
○政府参考人（稲山博司）：-0.1213：ヒット数：983：ヒット率：24.04
○岡田広：-0.121：ヒット数：261：ヒット率：24.9
○中西健治：-0.12：ヒット数：1178：ヒット率：26.17
○大平委員：-0.1197：ヒット数：312：ヒット率：25.09
○中野参議院議員：-0.1188：ヒット数：172：ヒット率：24.42
○船田議員：-0.1187：ヒット数：1206：ヒット率：24.5
○足立信也：-0.1186：ヒット数：228：ヒット率：22.37
○椎木委員：-0.1159：ヒット数：92：ヒット率：25.0
○行田邦子：-0.115：ヒット数：472：ヒット率：26.27
○安倍内閣総理大臣：-0.1148：ヒット数：411：ヒット率：26.76
○磯崎仁彦：-0.1144：ヒット数：1029：ヒット率：29.35
○政府参考人（宮地毅）：-0.1143：ヒット数：258：ヒット率：28.68
○森ゆうこ：-0.1138：ヒット数：196：ヒット率：20.93
○内閣総理大臣（安倍晋三）：-0.1135：ヒット数：217：ヒット率：28.11
○櫻井充：-0.1125：ヒット数：146：ヒット率：21.23
○大泉政府参考人：-0.1125：ヒット数：700：ヒット率：28.55
○篠原分科員：-0.1115：ヒット数：559：ヒット率：22.0
○福島みずほ：-0.1101：ヒット数：599：ヒット率：22.51
○石川博崇：-0.1094：ヒット数：278：ヒット率：24.82
○参考人（船田元）：-0.1079：ヒット数：334：ヒット率：23.05
○副大臣（黄川田徹）：-0.1068：ヒット数：158：ヒット率：25.32
○米田政府参考人：-0.1056：ヒット数：273：ヒット率：23.44
○中野委員：-0.1056：ヒット数：383：ヒット率：22.72
○田嶋委員：-0.1021：ヒット数：784：ヒット率：21.94
○藤原委員：-0.1012：ヒット数：157：ヒット率：21.66
○赤澤委員：-0.0988：ヒット数：856：ヒット率：24.53
○佐々木さやか：-0.098：ヒット数：449：ヒット率：24.05
○松田公太：-0.0965：ヒット数：596：ヒット率：18.79
○牧山ひろえ：-0.093：ヒット数：599：ヒット率：24.92
○若狭委員：-0.0919：ヒット数：149：ヒット率：16.78
○古賀大臣政務官：-0.0916：ヒット数：180：ヒット率：18.33
○石田国務大臣：-0.084：ヒット数：251：ヒット率：23.51
○衆議院議員（船田元）：-0.079：ヒット数：219：ヒット率：21.0
